Date,Category,Product Brand Name And Type,Barcode,Quantity,Unit,Unit Weight (Kg),Total Weight (Kg),Unit Price (GBP),Total Price (GBP),Location/Store
02-05-2024,Bread and bread products,"Tesco 2 Custard Slices, Bakery",5.05755E+12,1,Item,0.22,0.22,1.8,1.8,Hadley
02-05-2024,Bread and bread products,"Tesco All Butter Croissant, Bakery",3269275,12,Item,0.07,0.84,1.1,13.2,Hadley
02-05-2024,Bread and bread products,"Tesco Finest 4 Extra Fruity Hot Cross Buns, Bakery",5.05775E+12,4,Item,0.32,1.29,1.7,6.8,Hadley
02-05-2024,Bread and bread products,"Tesco Three Cheese Bloomer, Bakery",5.05427E+12,3,Item,0.43,1.28,2.3,6.9,Hadley
02-05-2024,Bread and bread products,"Tesco Maple And Pecan Plait, Bakery",3269336,5,Item,0.09,0.45,1.1,5.5,Hadley
02-05-2024,Bread and bread products,"Tesco White Baton 200G, Bakery",5.05775E+12,1,Item,0.22,0.22,0.8,0.8,Hadley
02-05-2024,Bread and bread products,"Tesco All Butter Chocolate Croissant, Bakery",3269299,6,Item,0.09,0.54,1.1,6.6,Hadley
02-05-2024,Bread and bread products,"Tesco All Butter Pain Au Chocolat, Bakery",3063378,9,Item,0.08,0.71,1.1,9.9,Hadley
02-05-2024,Bread and bread products,"Tesco Tiger Baguette 400G, Bakery",5.05775E+12,8,Item,0.44,3.53,1.25,10,Hadley
01-07-2024,Fresh vegetables,"Tesco Courgettes (C), Fruit and Veg",5.05775E+12,3,Item,0.67,2,1.5,4.5,Market Drayton
01-07-2024,Fresh vegetables,"Tesco Flat Peach Mineral 3 Pack (C), Fruit and Veg",3259412,1,Item,0.05,0.05,1.5,1.5,Market Drayton
01-07-2024,Fresh vegetables,"Tesco Iceberg Lettuce Each (C), Fruit and Veg",3043868,1,Item,0.57,0.57,0.9,0.9,Market Drayton
01-07-2024,Fresh vegetables,"Tesco Flat Leaf Parsley 15G (C), Fruit and Veg",3268674,2,Item,0.02,0.04,0.85,1.7,Market Drayton
01-07-2024,Fresh vegetables,"Tesco Pineapple Chunks 145G, Fruit and Veg",3339374,1,Item,0.16,0.16,1.3,1.3,Market Drayton
01-07-2024,Fresh vegetables,"Tesco Babyleaf Salad 90G, Fruit and Veg",3312957,1,Item,0.1,0.1,1.1,1.1,Market Drayton
01-07-2024,Fresh vegetables,"Tesco Raspberries 150G (C), Fruit and Veg",3257234,1,Item,0.17,0.17,2.2,2.2,Market Drayton
